No.,Time,,time 1,time 2,delay,,delay 1,Delay 2,JITTER
1,0,,0,0.28773,0.28773,,0.087676,0.014458,-0.073218
2,0.28773,,0.28773,0.487784,0.200054,,0.014458,0.147018,0.13256
3,0.487784,,0.487784,0.67338,0.185596,,0.147018,0.037497,-0.109521
4,0.67338,,0.67338,0.711958,0.038578,,0.037497,-0.293552,-0.331049
5,0.711958,,0.711958,0.713039,0.001081,,-0.293552,0.24519,0.538742
6,0.713039,,0.713039,1.007672,0.294633,,0.24519,-0.131994,-0.377184
7,1.007672,"1,007,672",1.007672,1.057115,0.049443,,-0.131994,0.180912,0.312906
8,1.057115,"1,057,115",1.057115,1.238552,0.181437,,0.180912,-0.273539,-0.454451
9,1.238552,"1,238,552",1.238552,1.239077,0.000525,,-0.273539,-0.221564,0.051975
10,1.239077,"1,239,077",1.239077,1.513141,0.274064,,-0.221564,-0.016817,0.204747
11,1.513141,"1,513,141",1.513141,2.008769,0.495628,,-0.016817,0.209318,0.226135
12,2.008769,"2,008,769",2.008769,2.521214,0.512445,,0.209318,0.267572,0.058254
13,2.521214,"2,521,214",2.521214,2.824341,0.303127,,0.267572,0.012056,-0.255516
14,2.824341,"2,824,341",2.824341,2.859896,0.035555,,0.012056,-0.033576,-0.045632
15,2.859896,"2,859,896",2.859896,2.883395,0.023499,,-0.033576,-2.637744,-2.604168
16,2.883395,"2,883,395",2.883395,2.94047,0.057075,,-2.637744,2.670081,5.307825
17,2.94047,"294,047",0.294047,2.988866,2.694819,,2.670081,-0.068453,-2.738534
18,2.988866,"2,988,866",2.988866,3.013604,0.024738,,-0.068453,0.068972,0.137425
19,3.013604,"3,013,604",3.013604,3.106795,0.093191,,0.068972,0.016876,-0.052096
20,3.106795,"3,106,795",3.106795,3.131014,0.024219,,0.016876,-0.03937,-0.056246
21,3.131014,"3,131,014",3.131014,3.138357,0.007343,,-0.03937,-3.044697,-3.005327
22,3.138357,"3,138,357",3.138357,3.18507,0.046713,,-3.044697,3.002937,6.047634
23,3.18507,"318,507",0.318507,3.409917,3.09141,,3.002937,-3.409666,-6.412603
24,3.409917,"3,409,917",3.409917,3.49839,0.088473,,-3.409666,3.341726,6.751392
25,3.49839,"349,839",0.349839,3.847978,3.498139,,3.341726,-0.350835,-3.692561
26,3.847978,"3,847,978",3.847978,4.004391,0.156413,,-0.350835,0.30483,0.655665
27,4.004391,"4,004,391",4.004391,4.511639,0.507248,,0.30483,0.202418,-0.102412
28,4.511639,"4,511,639",4.511639,4.714057,0.202418,,0.202418,-0.158027,-0.360445
29,4.714057,"4,714,057",4.714057,4.714057,0,,-0.158027,0.032236,0.190263
30,4.714057,"4,714,057",4.714057,4.872084,0.158027,,0.032236,-0.025605,-0.057841
31,4.872084,"4,872,084",4.872084,4.997875,0.125791,,-0.025605,-0.439969,-0.414364
32,4.997875,"4,997,875",4.997875,5.149271,0.151396,,-0.439969,0.538226,0.978195
33,5.149271,"5,149,271",5.149271,5.740636,0.591365,,0.538226,-0.00939,-0.547616
34,5.740636,"5,740,636",5.740636,5.793775,0.053139,,-0.00939,-0.001421,0.007969
